RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  135    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.737E+00  6.604E-01
    1    5     1     0  ---    3  1.4E-03  9.2E-03  4.486E+00  6.326E-01
    2    6     0     0  con    0  1.0E+00  8.4E-03  3.790E+00  5.877E-01
    3    7     0     0  con    0  1.0E+00  5.6E-02  2.441E+00  4.313E-01
    4    8     0     0  con    0  1.0E+00  2.9E-02  1.489E+00  3.871E-01
    5    9     0     0  con    0  1.0E+00  5.6E-02  4.179E-01  3.338E-01
    6   10     0     0  con    0  1.0E+00  1.0E-01  6.436E-01  2.797E-01
    7   11     0     0  con    0  1.0E+00  7.6E-02  1.855E-01  2.593E-01
    8   12     0     0  con    0  1.0E+00  1.0E-01  1.878E-01  2.493E-01
    9   14     0     0  con    1  1.5E-01  1.2E-02  1.323E-01  2.479E-01
   10   15     0     0  con    0  1.0E+00  2.2E-02  3.304E-01  2.470E-01
   11   16     0     0  con    0  1.0E+00  4.0E-02  4.462E-01  2.459E-01
   12   17     0     0  con    0  1.0E+00  6.6E-02  4.155E-01  2.440E-01
   13   18     0     0  con    0  1.0E+00  5.5E-02  2.295E-01  2.387E-01
   14   19     0     0  con    0  1.0E+00  2.5E-01  8.490E-01  2.248E-01
   15   21     0     0  con    1  1.4E-01  7.9E-02  5.926E-02  2.212E-01
   16   25     0     0  con    3  3.7E+00  2.3E-01  8.623E-02  2.117E-01
   17   27     0     0  con    1  1.2E-01  3.2E-02  1.480E-01  2.115E-01
   18   29     0     0  con    1  2.1E-01  1.8E-02  4.191E-02  2.111E-01
   19   30     0     0  con    0  1.0E+00  2.3E-02  1.372E-01  2.109E-01
   20   32     0     0  con    1  5.0E+00  1.5E-02  6.638E-02  2.106E-01
   21   33     0     0  con    0  1.0E+00  8.4E-02  2.956E-01  2.103E-01
   22   34     0     0  con    0  1.0E+00  3.2E-02  4.922E-02  2.101E-01
   23   35     0     0  con    0  1.0E+00  1.9E-02  7.914E-02  2.100E-01
   24   36     0     0  con    0  1.0E+00  2.8E-03  5.274E-02  2.099E-01
   25   37     0     0  con    0  1.0E+00  1.1E-02  3.713E-02  2.099E-01
   26   39     0     0  con    1  5.0E+00  2.5E-03  3.788E-02  2.099E-01
   27   40     0     0  con    0  1.0E+00  5.0E-03  8.516E-02  2.098E-01
   28   41     0     0  con    0  1.0E+00  1.7E-02  2.072E-01  2.095E-01
   29   42     0     0  con    0  1.0E+00  4.0E-02  2.843E-01  2.090E-01
   30   47     0     0  con    4  9.5E-02  7.6E-02  7.706E-02  2.080E-01
   31   49     0     0  con    1  6.6E-02  2.8E-02  3.555E-02  2.077E-01
   32   52     0     0  con    2  7.6E-01  1.7E-01  1.410E-01  2.055E-01
   33   56     0     0  con    3  1.2E-01  1.5E-02  1.357E-01  2.054E-01
   34   58     0     0  con    1  7.6E-02  8.4E-03  1.419E-01  2.054E-01
   35   59     0     0  con    0  1.0E+00  3.7E-02  7.815E-02  2.048E-01
   36   61     0     0  con    1  4.0E-01  1.6E-01  5.593E-01  2.037E-01
   37   63     0     0  con    1  4.7E-01  1.0E-01  1.174E-01  2.018E-01
   38   65     0     0  con    1  4.6E-01  1.4E-01  1.293E-01  1.998E-01
   39   66     0     0  con    0  1.0E+00  1.2E-01  7.853E-01  1.975E-01
   40   67     0     0  con    0  1.0E+00  1.6E-01  4.454E-02  1.961E-01
   41   68     0     0  con    0  1.0E+00  1.1E-01  3.144E-01  1.936E-01
   42   69     0     0  con    0  1.0E+00  1.1E-01  3.706E-01  1.927E-01
   43   70     0     0  con    0  1.0E+00  2.3E-02  1.879E-01  1.914E-01
   44   72     0     0  con    1  1.4E-01  4.5E-02  3.528E-01  1.904E-01
   45   73     0     0  con    0  1.0E+00  1.4E-01  4.048E-01  1.894E-01
   46   74     0     0  con    0  1.0E+00  4.0E-02  1.211E-01  1.883E-01
   47   76     0     0  con    1  2.0E-01  2.6E-03  9.003E-02  1.883E-01
   48   77     0     0  con    0  1.0E+00  3.4E-02  1.320E-01  1.881E-01
   49   78     0     0  con    0  1.0E+00  1.7E-02  6.791E-02  1.880E-01
   50   79     0     0  con    0  1.0E+00  2.5E-02  6.812E-02  1.878E-01
   51   80     0     0  con    0  1.0E+00  4.3E-02  1.445E-01  1.875E-01
   52   81     0     0  con    0  1.0E+00  9.3E-02  8.098E-02  1.866E-01
   53   82     0     0  con    0  1.0E+00  2.5E-01  6.646E-01  1.849E-01
   54   86     0     0  con    3  5.5E-01  5.4E-02  4.868E-01  1.838E-01
   55   88     0     0  con    1  2.6E-01  1.1E-01  1.069E-01  1.830E-01
   56   89     0     0  con    0  1.0E+00  4.3E-02  8.986E-02  1.819E-01
   57   92     0     0  con    2  4.4E-02  3.5E-02  1.295E-01  1.815E-01
   58   95     0     0  con    2  1.2E-01  1.5E-02  1.178E-01  1.813E-01
   59   96     0     0  con    0  1.0E+00  1.8E-02  1.924E-01  1.812E-01
   60   97     0     0  con    0  1.0E+00  4.1E-02  1.984E-01  1.811E-01
   61   99     0     0  con    1  2.8E-01  5.0E-03  1.376E-01  1.811E-01
   62  105     0     0  con    5  4.7E-01  1.9E-03  1.366E-01  1.810E-01
   63  106     0     0  con    0  1.0E+00  4.2E-03  1.386E-01  1.810E-01
   64  107     0     0  con    0  1.0E+00  4.5E-03  1.988E-01  1.810E-01
   65  109     0     0  con    1  5.0E+00  1.1E-02  1.576E-01  1.809E-01
   66  110     0     0  con    0  1.0E+00  1.6E-02  1.570E-01  1.808E-01
   67  111     0     0  con    0  1.0E+00  5.7E-02  2.424E-01  1.805E-01
   68  112     0     0  con    0  1.0E+00  3.6E-02  2.085E-01  1.802E-01
   69  113     0     0  con    0  1.0E+00  5.3E-02  2.067E-01  1.794E-01
   70  115     0     0  con    1  4.1E-01  1.9E-01  5.263E-01  1.770E-01
   71  116     0     0  con    0  1.0E+00  2.8E-01  1.146E+00  1.757E-01
